title,link
精彩專題,https://www.ettoday.net/feature/index
熱門活動,None
新聞總覽,None
社會前酒店少爺2度闖東家偷2.5萬小費　3男當街對他上銬也有事,https://www.ettoday.net/news/20240417/2721593.htm
影劇被問是什麼星座？嚴立婷狂回「雞」　對話曝光笑翻網友,https://star.ettoday.net/news/2721512
影劇歐漢聲虧前妻「桃花旺」感情近況曝！　被問黃子佼嘆氣：沒有私交,https://star.ettoday.net/news/2721594
社會中山高264K「司機恍神」小貨車撞工程緩衝車　90度側翻外車道,https://www.ettoday.net/news/20240417/2721592.htm
生活涵碧樓才洗得到！香氛品牌聯名咖啡店　推母親節限定禮盒做公益,https://www.ettoday.net/news/20240417/2721579.htm
社會台南女警遭警大退學自戕　麻豆分局官田所正副所長調職處分,https://www.ettoday.net/news/20240417/2721591.htm
社會陸戰隊66旅修繕包商雇用逃逸移工　專勤隊持拘票衝營區抓6人,https://www.ettoday.net/news/20240417/2721589.htm
財經巴拿馬運河5月中開始增加通行量至24艘次　6月增至32艘次,https://finance.ettoday.net/news/2721590
影劇《哈利波特》露娜32歲近照曝光　黑髮變「石內卜風格」 認不出來,https://star.ettoday.net/news/2721325
生活小感冒要命！AED電擊3次搶贏閻王　高雄男「心肌炎」倒地險猝死,https://www.ettoday.net/news/20240417/2721586.htm
國際潑水節狂歡成悲劇！　泰國6天「243人喪命」近2千人受傷,https://www.ettoday.net/news/20240417/2721563.htm
政治王世堅轟租賃公司向官股銀行借「五千億」　轉手向民眾放高利貸,https://www.ettoday.net/news/20240417/2721498.htm
影劇冠軍正妹顏值神似韓星SOMl！城市小姐連辦19屆超吸睛,https://star.ettoday.net/news/2721488
生活桃園老字號「阿珍米干」宣布停業！在地人不捨：口袋名單少一家,https://www.ettoday.net/news/20240417/2721587.htm
影劇馮德倫「曬舒淇舊照」被老婆嗆跪算盤！　現身親曝愛妻宣言：很漂亮啊,https://star.ettoday.net/news/2721578
影劇《浪姐5》太操！　謝金燕驚「體重剩44.7kg」：沒看過腿細成這樣,https://star.ettoday.net/news/2721576
社會買船走私35億大麻「太空包」　1381kg毒品全被抄...10人慘了,https://www.ettoday.net/news/20240417/2721574.htm
體育張進德開始打T座　布蘭登周日重返一軍先發,https://sports.ettoday.net/news/2721566
國際1歲女嬰不喝奶遭掌摑「臉頰大片瘀青」　新加坡前幼師判關9個月,https://www.ettoday.net/news/20240417/2721547.htm
國際「M痘」出現變異株了！累計108例個案2死亡　恐爆發全球大流行,https://www.ettoday.net/news/20240417/2721584.htm
政治鄭文燦520後新職　傳賴清德新政府鎖定擔任海基會董事長,https://www.ettoday.net/news/20240417/2721580.htm
生活「限用塑膠袋場域」擬擴大　環境部：傳統市場、早餐店將納入,https://www.ettoday.net/news/20240417/2721572.htm
社會拋開壓力！士院給一日公假挺法官自主辦活動：彼此打氣,https://www.ettoday.net/news/20240417/2721535.htm
社會誰的「家」撞爛牌樓！拖板車載貨櫃屋　超標28cm硬闖社區釀禍,https://www.ettoday.net/news/20240417/2721571.htm
大陸陸發改委：認為出口商品多了就是產能過剩，這是站不住腳的,https://www.ettoday.net/news/20240417/2721558.htm
生活娶到賺到！「超強旺夫運」TOP3星座女　又美又溫柔,https://www.ettoday.net/news/20240417/2718400.htm
消費7-11限量首賣「紅玉18拿鐵」與「春烏龍拿鐵」　限時2杯168元,https://www.ettoday.net/news/20240417/2721422.htm
生活震後2周又有5.2餘震　氣象署：地體結構調整「規模4以上還會有」,https://www.ettoday.net/news/20240417/2721570.htm
房產雲外地人、成大學生都能租　台南唯一自建社宅明年招租,https://house.ettoday.net/news/2721555
國際開戰逾2年　BBC估俄羅斯「5萬士兵陣亡」！絞肉機戰術傷亡慘重,https://www.ettoday.net/news/20240417/2721513.htm
